"Kalendertag";"2018 0-64";"2020 0-64";"2018 65+";"2020 65+"
"01.01.";384;422;2281;2254
"02.01.";396;422;2364;2384
"03.01.";397;401;2473;2354
"04.01.";424;387;2441;2375
"05.01.";387;364;2488;2157
"06.01.";410;409;2353;2251
"07.01.";382;415;2162;2384
"08.01.";415;412;2244;2417
"09.01.";346;405;2243;2504
"10.01.";418;402;2387;2474
"11.01.";421;381;2284;2293
"12.01.";389;327;2342;2283
"13.01.";394;447;2285;2307
"14.01.";391;423;2211;2400
"15.01.";398;400;2356;2281
"16.01.";423;420;2426;2455
"17.01.";399;370;2332;2315
"18.01.";407;367;2424;2314
"19.01.";427;353;2376;2223
"20.01.";382;381;2263;2247
"21.01.";376;393;2198;2296
"22.01.";418;375;2345;2304
"23.01.";427;387;2334;2335
"24.01.";410;377;2406;2451
"25.01.";379;357;2417;2306
"26.01.";411;346;2393;2290
"27.01.";391;415;2249;2382
"28.01.";326;398;2265;2483
"29.01.";424;386;2473;2441
"30.01.";425;394;2303;2357
"31.01.";404;401;2474;2499
"01.02.";399;368;2427;2415
"02.02.";396;376;2415;2342
"03.02.";391;383;2373;2340
"04.02.";342;403;2312;2474
"05.02.";409;372;2426;2291
"06.02.";363;355;2421;2220
"07.02.";431;431;2552;2303
"08.02.";407;382;2480;2307
"09.02.";362;361;2509;2245
"10.02.";389;399;2483;2431
"11.02.";357;338;2497;2473
"12.02.";434;411;2578;2350
"13.02.";435;402;2606;2370
"14.02.";446;388;2519;2385
"15.02.";423;392;2608;2390
"16.02.";394;389;2711;2332
"17.02.";400;398;2600;2393
"18.02.";402;362;2698;2270
"19.02.";471;411;2730;2298
"20.02.";445;381;2792;2325
"21.02.";437;395;2847;2242
"22.02.";457;371;2834;2277
"23.02.";420;333;2958;2302
"24.02.";453;392;2816;2346
"25.02.";427;375;2801;2375
"26.02.";468;357;2989;2391
"27.02.";469;387;3000;2292
"28.02.";454;427;3136;2432
"01.03.";502;339;3211;2270
"02.03.";497;411;3206;2395
"03.03.";477;442;3386;2407
"04.03.";467;353;3273;2389
"05.03.";543;373;3389;2355
"06.03.";511;398;3370;2442
"07.03.";507;340;3374;2319
"08.03.";456;332;3266;2331
"09.03.";482;391;3394;2440
"10.03.";475;359;3274;2437
"11.03.";466;353;3270;2470
"12.03.";480;399;3261;2372
"13.03.";450;383;3135;2371
"14.03.";463;370;3059;2354
"15.03.";491;362;3003;2297
"16.03.";421;NaN;3103;NaN
"17.03.";435;NaN;2860;NaN
"18.03.";416;NaN;2808;NaN
"19.03.";435;NaN;2870;NaN
"20.03.";430;NaN;2879;NaN
"21.03.";476;NaN;2844;NaN
"22.03.";408;NaN;2861;NaN
"23.03.";418;NaN;2970;NaN
"24.03.";453;NaN;2796;NaN
"25.03.";404;NaN;2533;NaN
"26.03.";395;NaN;2691;NaN
"27.03.";403;NaN;2656;NaN
"28.03.";452;NaN;2740;NaN
"29.03.";381;NaN;2609;NaN
"30.03.";367;NaN;2535;NaN
"31.03.";408;NaN;2509;NaN
"01.04.";382;NaN;2378;NaN
"02.04.";412;NaN;2347;NaN
"03.04.";437;NaN;2565;NaN
"04.04.";422;NaN;2575;NaN
"05.04.";422;NaN;2487;NaN
"06.04.";401;NaN;2383;NaN
"07.04.";429;NaN;2358;NaN
"08.04.";388;NaN;2412;NaN
"09.04.";395;NaN;2415;NaN
"10.04.";388;NaN;2530;NaN
"11.04.";427;NaN;2353;NaN
"12.04.";399;NaN;2400;NaN
"13.04.";388;NaN;2348;NaN
"14.04.";344;NaN;2234;NaN
"15.04.";373;NaN;2171;NaN
"16.04.";366;NaN;2234;NaN
"17.04.";387;NaN;2237;NaN
"18.04.";404;NaN;2138;NaN
"19.04.";392;NaN;2155;NaN
"20.04.";422;NaN;2274;NaN
"21.04.";386;NaN;2093;NaN
"22.04.";357;NaN;2147;NaN
"23.04.";389;NaN;2123;NaN
"24.04.";350;NaN;2160;NaN
"25.04.";405;NaN;2103;NaN
"26.04.";368;NaN;2001;NaN
"27.04.";382;NaN;1998;NaN
"28.04.";369;NaN;2117;NaN
"29.04.";339;NaN;1989;NaN
"30.04.";372;NaN;2119;NaN
"01.05.";381;NaN;2078;NaN
"02.05.";362;NaN;2037;NaN
"03.05.";377;NaN;2015;NaN
"04.05.";363;NaN;2034;NaN
"05.05.";407;NaN;2047;NaN
"06.05.";321;NaN;1876;NaN
"07.05.";415;NaN;2007;NaN
"08.05.";369;NaN;2205;NaN
"09.05.";385;NaN;2261;NaN
"10.05.";357;NaN;2109;NaN
"11.05.";381;NaN;2006;NaN
"12.05.";346;NaN;2060;NaN
"13.05.";342;NaN;1983;NaN
"14.05.";384;NaN;2099;NaN
"15.05.";382;NaN;2101;NaN
"16.05.";380;NaN;1965;NaN
"17.05.";359;NaN;2003;NaN
"18.05.";291;NaN;1981;NaN
"19.05.";355;NaN;2008;NaN
"20.05.";333;NaN;1847;NaN
"21.05.";316;NaN;1868;NaN
"22.05.";374;NaN;1996;NaN
"23.05.";385;NaN;2077;NaN
"24.05.";363;NaN;1983;NaN
"25.05.";382;NaN;2096;NaN
"26.05.";387;NaN;1974;NaN
"27.05.";375;NaN;1937;NaN
"28.05.";399;NaN;2178;NaN
"29.05.";377;NaN;2223;NaN
"30.05.";394;NaN;2153;NaN
"31.05.";349;NaN;2050;NaN
"01.06.";344;NaN;2108;NaN
"02.06.";356;NaN;1940;NaN
"03.06.";342;NaN;1826;NaN
"04.06.";394;NaN;1962;NaN
"05.06.";363;NaN;2068;NaN
"06.06.";379;NaN;1979;NaN
"07.06.";381;NaN;2020;NaN
"08.06.";384;NaN;2097;NaN
"09.06.";359;NaN;2014;NaN
"10.06.";350;NaN;1964;NaN
"11.06.";358;NaN;1959;NaN
"12.06.";374;NaN;1822;NaN
"13.06.";329;NaN;1849;NaN
"14.06.";356;NaN;1856;NaN
"15.06.";378;NaN;1887;NaN
"16.06.";350;NaN;1957;NaN
"17.06.";348;NaN;1759;NaN
"18.06.";374;NaN;1899;NaN
"19.06.";379;NaN;1954;NaN
"20.06.";391;NaN;1957;NaN
"21.06.";407;NaN;2003;NaN
"22.06.";351;NaN;1840;NaN
"23.06.";329;NaN;1789;NaN
"24.06.";315;NaN;1855;NaN
"25.06.";415;NaN;1904;NaN
"26.06.";355;NaN;2001;NaN
"27.06.";345;NaN;1932;NaN
"28.06.";386;NaN;2056;NaN
"29.06.";387;NaN;2093;NaN
"30.06.";362;NaN;2037;NaN
"01.07.";370;NaN;1926;NaN
"02.07.";369;NaN;1860;NaN
"03.07.";376;NaN;2061;NaN
"04.07.";362;NaN;2061;NaN
"05.07.";399;NaN;2176;NaN
"06.07.";356;NaN;2072;NaN
"07.07.";351;NaN;1908;NaN
"08.07.";337;NaN;1934;NaN
"09.07.";370;NaN;2011;NaN
"10.07.";381;NaN;1936;NaN
"11.07.";351;NaN;1919;NaN
"12.07.";408;NaN;1996;NaN
"13.07.";353;NaN;1949;NaN
"14.07.";331;NaN;1861;NaN
"15.07.";326;NaN;1878;NaN
"16.07.";383;NaN;2069;NaN
"17.07.";412;NaN;2075;NaN
"18.07.";331;NaN;2017;NaN
"19.07.";365;NaN;1977;NaN
"20.07.";358;NaN;2095;NaN
"21.07.";333;NaN;2019;NaN
"22.07.";358;NaN;1910;NaN
"23.07.";424;NaN;2068;NaN
"24.07.";361;NaN;2061;NaN
"25.07.";365;NaN;2160;NaN
"26.07.";371;NaN;2303;NaN
"27.07.";419;NaN;2421;NaN
"28.07.";399;NaN;2486;NaN
"29.07.";360;NaN;2142;NaN
"30.07.";434;NaN;2297;NaN
"31.07.";399;NaN;2445;NaN
"01.08.";449;NaN;2556;NaN
"02.08.";396;NaN;2480;NaN
"03.08.";432;NaN;2621;NaN
"04.08.";397;NaN;2694;NaN
"05.08.";396;NaN;2375;NaN
"06.08.";375;NaN;2221;NaN
"07.08.";387;NaN;2491;NaN
"08.08.";455;NaN;2509;NaN
"09.08.";401;NaN;2495;NaN
"10.08.";386;NaN;2203;NaN
"11.08.";330;NaN;1991;NaN
"12.08.";339;NaN;1895;NaN
"13.08.";396;NaN;2161;NaN
"14.08.";352;NaN;2100;NaN
"15.08.";350;NaN;1957;NaN
"16.08.";340;NaN;2093;NaN
"17.08.";399;NaN;2034;NaN
"18.08.";353;NaN;2020;NaN
"19.08.";342;NaN;1993;NaN
"20.08.";381;NaN;2077;NaN
"21.08.";379;NaN;2018;NaN
"22.08.";359;NaN;2109;NaN
"23.08.";408;NaN;2167;NaN
"24.08.";368;NaN;2042;NaN
"25.08.";334;NaN;1878;NaN
"26.08.";323;NaN;1769;NaN
"27.08.";357;NaN;1960;NaN
"28.08.";377;NaN;1979;NaN
"29.08.";332;NaN;1979;NaN
"30.08.";366;NaN;2014;NaN
"31.08.";358;NaN;1872;NaN
"01.09.";343;NaN;1854;NaN
"02.09.";310;NaN;1899;NaN
"03.09.";348;NaN;2123;NaN
"04.09.";381;NaN;2046;NaN
"05.09.";363;NaN;2023;NaN
"06.09.";373;NaN;2006;NaN
"07.09.";367;NaN;2061;NaN
"08.09.";329;NaN;1824;NaN
"09.09.";308;NaN;1838;NaN
"10.09.";354;NaN;1927;NaN
"11.09.";378;NaN;1985;NaN
"12.09.";365;NaN;2084;NaN
"13.09.";371;NaN;2009;NaN
"14.09.";349;NaN;2071;NaN
"15.09.";323;NaN;1863;NaN
"16.09.";337;NaN;1876;NaN
"17.09.";406;NaN;1945;NaN
"18.09.";381;NaN;2095;NaN
"19.09.";368;NaN;2071;NaN
"20.09.";370;NaN;2183;NaN
"21.09.";367;NaN;2023;NaN
"22.09.";321;NaN;1832;NaN
"23.09.";362;NaN;1927;NaN
"24.09.";347;NaN;1961;NaN
"25.09.";355;NaN;1803;NaN
"26.09.";362;NaN;1953;NaN
"27.09.";370;NaN;1968;NaN
"28.09.";331;NaN;2038;NaN
"29.09.";347;NaN;1895;NaN
"30.09.";315;NaN;1924;NaN
"01.10.";387;NaN;1993;NaN
"02.10.";355;NaN;2039;NaN
"03.10.";346;NaN;1928;NaN
"04.10.";375;NaN;2015;NaN
"05.10.";387;NaN;2048;NaN
"06.10.";382;NaN;2084;NaN
"07.10.";351;NaN;1932;NaN
"08.10.";362;NaN;1976;NaN
"09.10.";340;NaN;2054;NaN
"10.10.";395;NaN;2080;NaN
"11.10.";409;NaN;2116;NaN
"12.10.";349;NaN;2106;NaN
"13.10.";342;NaN;2091;NaN
"14.10.";346;NaN;2027;NaN
"15.10.";407;NaN;2067;NaN
"16.10.";382;NaN;2029;NaN
"17.10.";396;NaN;2047;NaN
"18.10.";358;NaN;2004;NaN
"19.10.";321;NaN;2062;NaN
"20.10.";331;NaN;1923;NaN
"21.10.";311;NaN;1914;NaN
"22.10.";338;NaN;1926;NaN
"23.10.";356;NaN;2054;NaN
"24.10.";376;NaN;2039;NaN
"25.10.";367;NaN;2030;NaN
"26.10.";391;NaN;2090;NaN
"27.10.";301;NaN;1917;NaN
"28.10.";369;NaN;2054;NaN
"29.10.";388;NaN;2009;NaN
"30.10.";373;NaN;2086;NaN
"31.10.";368;NaN;2040;NaN
"01.11.";345;NaN;2053;NaN
"02.11.";362;NaN;2090;NaN
"03.11.";364;NaN;2066;NaN
"04.11.";317;NaN;2034;NaN
"05.11.";380;NaN;2189;NaN
"06.11.";383;NaN;2161;NaN
"07.11.";382;NaN;2077;NaN
"08.11.";388;NaN;2205;NaN
"09.11.";373;NaN;2159;NaN
"10.11.";355;NaN;2068;NaN
"11.11.";356;NaN;2128;NaN
"12.11.";387;NaN;2070;NaN
"13.11.";369;NaN;2107;NaN
"14.11.";361;NaN;1990;NaN
"15.11.";366;NaN;1989;NaN
"16.11.";350;NaN;2137;NaN
"17.11.";347;NaN;1988;NaN
"18.11.";341;NaN;2040;NaN
"19.11.";386;NaN;2123;NaN
"20.11.";383;NaN;2192;NaN
"21.11.";363;NaN;2172;NaN
"22.11.";409;NaN;2302;NaN
"23.11.";366;NaN;2206;NaN
"24.11.";354;NaN;2173;NaN
"25.11.";360;NaN;1996;NaN
"26.11.";375;NaN;2159;NaN
"27.11.";363;NaN;2154;NaN
"28.11.";400;NaN;2118;NaN
"29.11.";369;NaN;2321;NaN
"30.11.";420;NaN;2221;NaN
"01.12.";373;NaN;2210;NaN
"02.12.";343;NaN;2265;NaN
"03.12.";400;NaN;2318;NaN
"04.12.";394;NaN;2200;NaN
"05.12.";360;NaN;2198;NaN
"06.12.";347;NaN;2258;NaN
"07.12.";409;NaN;2352;NaN
"08.12.";348;NaN;2163;NaN
"09.12.";333;NaN;2262;NaN
"10.12.";392;NaN;2130;NaN
"11.12.";372;NaN;2250;NaN
"12.12.";354;NaN;2257;NaN
"13.12.";357;NaN;2230;NaN
"14.12.";366;NaN;2233;NaN
"15.12.";357;NaN;2151;NaN
"16.12.";362;NaN;2132;NaN
"17.12.";353;NaN;2325;NaN
"18.12.";352;NaN;2258;NaN
"19.12.";440;NaN;2304;NaN
"20.12.";420;NaN;2357;NaN
"21.12.";411;NaN;2425;NaN
"22.12.";377;NaN;2414;NaN
"23.12.";345;NaN;2209;NaN
"24.12.";357;NaN;2266;NaN
"25.12.";323;NaN;2125;NaN
"26.12.";350;NaN;2187;NaN
"27.12.";373;NaN;2243;NaN
"28.12.";387;NaN;2317;NaN
"29.12.";357;NaN;2216;NaN
"30.12.";373;NaN;2080;NaN
"31.12.";376;NaN;2203;NaN